Descripción,Detalles_del_Producto,Marca,Fecha_de_Compra,Información_Empresa_Vendedora,Precio_Unitario,Total,Rotacion
Detergente Líquido,"Detergente para ropa, fórmula concentrada",DesinfecMax,10/07/2024,Limpieza Total S.A.,2.5,2.5,23400
Desinfectante Multiuso,"Desinfectante para superficies, aroma limón",DesinfecMax,11/07/2024,Limpieza Total S.A.,3,3,62300
Limpiador de Pisos,Limpiador líquido para todo tipo de pisos,DesinfecMax,12/07/2024,Limpieza Total S.A.,4,4,14000
Limpiavidrios,Limpiador de vidrios sin rayas,CristalPlus,,Limpieza Total S.A.,2,2,32000
Paños de Microfibra,Paños reutilizables para limpieza general,MicroClean,14/07/2024,Limpieza Total S.A.,1.5,1.5,50000
Cepillo para Inodoro,Cepillo con base para limpieza de inodoros,InodoClean,,Limpieza Total S.A.,3.5,3.5,43000
Limpiador de Inodoro,Limpiador desinfectante para inodoros,InodoPlus,16/07/2024,Limpieza Total S.A.,2.75,2.75,71000
Bolsas de Basura,"Bolsas de basura resistentes, 30L",MicroClean,17/07/2024,Limpieza Total S.A.,1.25,1.25,34990
Esponjas Abrasivas,Esponjas para limpieza difícil,EsponPro,18/07/2024,Limpieza Total S.A.,1,1,32480
Guantes de Látex,"Guantes desechables de látex, talla M",MicroClean,,Limpieza Total S.A.,1.5,1.5,31102
Limpiador de Alfombras,Limpiador en espuma para alfombras,AlfombraPlus,20/07/2024,Limpieza Total S.A.,4.5,4.5,23780
Aromatizante Ambiental,"Aromatizante en spray, fragancia lavanda",AromaFresh,21/07/2024,Limpieza Total S.A.,2.25,2.25,53019
